"Data Source","World Development Indicators",

"Last Updated Date","2016-06-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","0","0","",
"Andorra","AND","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","60","60","60","60","60","60","60","170","170","170","170","170","170","170","170","170","170","170","170","170","170","300","300","300","300","300","300","300","300","300","300","300","450","450","450","450","450","450","1050","1050","1050","1050","1050","1050","1050","1050","",
"Angola","AGO","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","11","51","72","92","126","156","190","190","260","310","310","310","310","305","",
"Albania","ALB","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","0","0","0","3","45","85","123","164","193","260","339","455","699","1162","1197","1208","2165","2368","3732","2604","4961","859","397","389","395","340","323","97","124","310","307","286","860","1473","1569","1473","2057","2092","2000","2317","2504","2022","2034","2090","2424.2","",
"Arab World","ARB","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","4600","5200","5200","6000","7000","6200","5904","5610","5617","5928","6046","7145","8556","10067","10873","11396","13900","16233","18554","20830","23325","25837","29390","30877","34269","49929","53736","54769","62285","69066","70522","70649","78320","65086","70944","87973","109249","105662","165476","246418","360829","364753","398297","476490","514549.4","590579","643549","688762.4","756249.131","771441.482","987649.049","1042809.194","1078802.227","1146000.881","1211143.683","",
"United Arab Emirates","ARE","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","7","9","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2300","570","590","610","644","1343","130","198","415","420","780","788","",
"Argentina","ARG","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","1","2","4","5","5","8","11","15","19","23","27","31","36","42","49","57","67","78","90","105","123","143","150","270","270","353","353","300","300","350","402","707","763","1474","1322","1314","1040","1218","1784","1340","1457","1647","1848","2057","2528","2957","2700","2582.95","2654.35","3193.25","2958.42","3825.12","4008.24","",
"Armenia","ARM","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4598","4604","5057","2637","2565","2250","1570","1120","650","670","437","889","893","1331","1020","1064","813","739","1056","3650","5100","5240","5000","6300","8850","11590","13925","",
"American Samoa","ASM","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","5","5","5","5","5","5","5","10","10","10","10","10","18","18","18","18","18","20","20","20","20","",
"Antigua and Barbuda","ATG","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","5700","6500","5800","5900","5800","6600","6800","7300","7500","7500","7021","9800","10400","9200","10484","9204","10439","11126","10236","8702","8994","9185","8841","9056","8785","9534","9083","9660","13080","13685","12401","14327","16422","18359","19129","22395","25323","26637","24618","29303","31746","35403","38566","38793","44142","42787","49376","55799","58911.7","65085.1","75626.9","76275.46","81832.7","80063.5","74913.5","",
"Austria","AUT","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","650","660","670","600","680","730","750","790","740","800","870","960","1080","1300","1220","1200","1390","1600","2900","3400","3200","3200","3100","3600","4000","4100","4060","4000","4500","4450","3126","3135","3140","3140","3103","2918","2949","3018","2909","3067","2847","2393","2333","2233","2267","2420","2503","2539","2087","2141","2167","2904.3","3125.5","3237","3390.3","",
"Azerbaijan","AZE","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1656","1621","1216","2176","1690","1201","1038","516","419","364","211","216","140","95","80","130","350","500","600","900","1000","1000","1000","517","366.1","325","305","",
"Burundi","BDI","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","2","2","21","25","24","25","30","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","17.3","61.7","160.4","165","165","",
"Belgium","BEL","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","4","7","12","20","32","90","147","203","255","310","440","530","600","700","735","675","846","846","846","846","846","946","846","846","1597","1871","1830","1834","1261","739","414","128","128","126","576","539","101","277","212","214","",
"Benin","BEN","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","15","11","15","14","80","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","7","350","415","178","213","308","364","400","500","667","1425","",
"Burkina Faso","BFA","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","114","74","33","30","26","7","6","6","5","5","0","0","0","30","45","40","25","5","5","5","5","5","65","250","348","475","275","370","305","302","320","300","",
"Bangladesh","BGD","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","49237","50569","51944","53362","54824","58030","57897","59519","59460","62927","64716","68080","68508","70525","70970","73340","77063","77230","82760","87360","91030","96780","101630","107000","117025","123811","144723","166100","175925","183505","192592","210993","226863","237743","264190","317073","379087","485864","574812","593202","657120","712640","786604","856956","914752","882091","892049","945812","1005542","1064285","1308515","1523759","1726066","1859808","1956925","",
"Bulgaria","BGR","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","900","900","1000","800","4100","5100","4400","6800","5900","5800","5600","5300","4600","4900","5800","6188","6250","8134","7767","10042","11500","12720","14636","12919","14571","10560","12138","12647","12141","11615","7849","7798","8132","7897","6100","4615","4727","5437","4252","7780","3654","2938","2308","4465","2489","3145","3257","4032","5157","6722.538","7920.617","5527.175","5975.06","12151.65","11171.795","",
"Bahrain","BHR","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","0","1","3","12","0","3","4","8","3","2","1","2","2","3.187","3.424","1.725","0","5.71","",
"Bahamas, The","BHS","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","42","42","37","51","69","49","6","10","8","4","24","1","1","1","1","2","13","25","52","30","85","52","30","20","17","0","0","0","0","0","",
"Bosnia and Herzegovina","BIH","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4685","6635","6394","7070","7621","7442","7589","7620","7620","4970.2","3638.3","2923.5","3397","",
"Belarus","BLR","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16152","17817","16638","14750","8415","7018","6934","5463","6038","4322","4727","4824","6716","4666","6523","5393","4150","5648","8406","14091","14636","15659","16265","16293","15499","13548","10658","",
